taxlevel	rankID	taxon	daughterlevels	total	G1	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G2	G20	G21	G22	G23	G24	G25	G26	G3	G4	G5	G6	G7	G8	G9
12	0.1.1.1.1.1.1.2.3.1.1.1.5	Cooperia_spatulata	0	16165	74	56	285	178	228	268	1090	133	731	1074	1854	317	10	301	117	334	718	2073	2409	3	314	1	30	1070	1269	1228
12	0.1.1.1.1.1.1.2.3.1.1.1.6	unclassified	0	801	0	11	13	0	7	16	70	17	30	71	56	10	0	39	10	24	28	76	106	0	58	3	9	43	47	57
9	0.1.1.1.1.1.1.2.3.2	Haemonchidae	1	202849	12459	634	9984	14743	6607	8140	1332	9312	10236	1721	4721	7160	3493	6749	19857	4717	1997	5196	1787	21846	842	17922	12850	12120	4842	1582
10	0.1.1.1.1.1.1.2.3.2.1	Haemonchinae	1	202849	12459	634	9984	14743	6607	8140	1332	9312	10236	1721	4721	7160	3493	6749	19857	4717	1997	5196	1787	21846	842	17922	12850	12120	4842	1582
11	0.1.1.1.1.1.1.2.3.2.1.1	Haemonchus	4	202849	12459	634	9984	14743	6607	8140	1332	9312	10236	1721	4721	7160	3493	6749	19857	4717	1997	5196	1787	21846	842	17922	12850	12120	4842	1582
12	0.1.1.1.1.1.1.2.3.2.1.1.1	Haemonchus_contortus	0	16843	0	0	1	0	4	1	243	2443	75	253	1	1	0	6732	2	0	2	1	0	0	0	4	7080	0	0	0
12	0.1.1.1.1.1.1.2.3.2.1.1.2	Haemonchus_placei	0	163457	12395	473	5122	14726	6603	8138	1088	6648	10156	1466	4719	7157	1425	17	19853	2955	727	5195	1787	10019	815	17916	5513	12120	4842	1582
12	0.1.1.1.1.1.1.2.3.2.1.1.3	Haemonchus_similis	0	22122	63	160	4856	16	0	0	0	114	2	0	1	2	2064	0	0	1760	1267	0	0	11789	27	1	0	0	0	0
12	0.1.1.1.1.1.1.2.3.2.1.1.4	unclassified	0	427	1	1	5	1	0	1	1	107	3	2	0	0	4	0	2	2	1	0	0	38	0	1	257	0	0	0
9	0.1.1.1.1.1.1.2.3.3	Trichostrongylidae	1	20177	170	2750	62	10	0	0	1	387	2	3086	13	3	9250	8	2	3424	2	0	4	90	1	880	1	0	31	0
10	0.1.1.1.1.1.1.2.3.3.1	Trichostrongylinae	1	20177	170	2750	62	10	0	0	1	387	2	3086	13	3	9250	8	2	3424	2	0	4	90	1	880	1	0	31	0
11	0.1.1.1.1.1.1.2.3.3.1.1	Trichostrongylus	5	20177	170	2750	62	10	0	0	1	387	2	3086	13	3	9250	8	2	3424	2	0	4	90	1	880	1	0	31	0
12	0.1.1.1.1.1.1.2.3.3.1.1.1	Trichostrongylus_axei	0	19495	95	2709	62	10	0	0	1	0	2	3068	13	3	9144	8	2	3374	2	0	4	90	1	878	0	0	29	0
12	0.1.1.1.1.1.1.2.3.3.1.1.2	Trichostrongylus_colubriformis	0	52	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.1.1.1.1.1.1.2.3.3.1.1.3	Trichostrongylus_unknown1	0	44	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
12	0.1.1.1.1.1.1.2.3.3.1.1.4	Trichostrongylus_unknown2	0	31	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
12	0.1.1.1.1.1.1.2.3.3.1.1.5	unclassified	0	555	3	41	0	0	0	0	0	335	0	18	0	0	106	0	0	50	0	0	0	0	0	2	0	0	0	0
5	0.1.1.1.1.2	Enoplea	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.1.1.1.2.1	Dorylaimia	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.1.1.1.2.1.1	Trichocephalida	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0.1.1.1.1.2.1.1.1	Trichuridae	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0.1.1.1.1.2.1.1.1.1	Trichurinae	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0.1.1.1.1.2.1.1.1.1.1	Trichuris	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0.1.1.1.1.2.1.1.1.1.1.1	Trichuris_discolor	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.1.1.1.1.2.1.1.1.1.1.1.1	unclassified	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
